NOMBRE;DIRECCIÓN;POBLACIÓN;PROVINCIA;CÓDIGO POSTAL;TELÉFONO;EMAIL;WEB;PRESIDENTE;GMaps;COMENTARIOS;WKT
ASOCIACIÓN DE FAMILIARES ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS NUESTRO AYER (AFA NUESTRO AYER);C/ Jorge Guillén, 1. Antiguo Centro Salud;Benalup;Cádiz;11190;956417824 - 617181525;afanuestroayerbenalup@hotmail.com;;Milagros Legupín Estudillo;https://goo.gl/maps/itaqkpiUg7G2;;POINT(-5.808800700000006 36.34466)
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE CÓRDOBA; C/ Escritora Gloria Fuertes, esquina Francisco Ortega, s/n; Córdoba; Córdoba;14004;628 82 06 51;cordoba@alzheimerdeandalucia.org;;Rafael Luque Siles;https://goo.gl/maps/Z5BaFF8NjSS2;;POINT(-4.7931370000000015 37.8762345)
Asociacion de Familiares y amigos de enfermos de alzheimer y otras demencias AFASUR GENIL; Modesto Carmona, 4; Puente Genil; Córdoba;14500;957607014 - 680134007;afasurgenil@hotmail.com - afasurgenil@gmail.com;;MANUEL POYATOS PEREZ;https://goo.gl/maps/Ebs8HyCo9kQ2;;POINT(-4.7764806000000135 37.387809)
"Asociación Colonial de Familiares de Familiares de Personas con Alzheimer y Otras Demencias ""Purísima Concepción"""; C/ Botillas, 4; Fuente Palmera; Córdoba;14120;957852870 – 630106450;purisimaconcepcion@hotmail.es;;Josefa Martínez Romero;https://goo.gl/maps/XTJf774VcrB2;;POINT(-5.105149600000004 37.702242)
Asociación de Alzheimer Egabrense A.D.A.E.; C/ José Aumente, esquina C/ Zaranda, S/N; Cabra; Córdoba;14940;627068361;adae.cabra@gmail.com;http://www.asociacion-adae.org/;Carmen Mangas Gómez;https://goo.gl/maps/vTK6MTDvX3x;;POINT(-4.427411000000006 37.475695)
Asociación de familiares de enfermos de alzheimer y otras demencias afines de Fernán Núñez;C/ Victoria Kent, s/n; Fernan Núñez; Córdoba;14520;957373905 - 610870948;afadefer@hotmail.com;http://www.afadefer.com/;Mª Emilia Castillo Jiménez;https://goo.gl/maps/1sffPRCzBK62;;POINT(-4.730782399999953 37.6649223)
Asociación de familiares de Enfermos de Alzheimer de Montilla (AFAMO); MADAME CURIE S/N POL JARATA; Montilla; Córdoba;14550;957664570 - 660469688;afamontilla@yahoo.es;http://afamo.blogspot.com;Tránsito Jiménez Merino;https://goo.gl/maps/zi5e7nWUFoC2;;POINT(-4.659778999999958 37.573868)
Asociación de Familiares de Enfermos de Alzheimer y otras Demencias de Castro del Río “AFAYD”; C/ Ancha, 14; Castro del Río; Córdoba;14840;957943039;afaydcastro@hotmail.com;;Rafael López-Toribio Gallardo;https://goo.gl/maps/8BK36u4JmqH2;;POINT(-4.480418600000007 37.6914093)
Asociación de familiares de enfermos de Alzheimer y otras demencias Entretodos; Plaza San Juan, 4; Hinojosa del Duque; Córdoba;14270;617082810;alzheimerasociacion2014@gmail.com;;Antonio Fernández González;https://goo.gl/maps/4SvUZXSzMUP2;;POINT(-5.1489391999999725 38.5010623)
Asociación de Familiares de Enfermos de Alzheimer y otras Demencias Fuente de la Salud; Plaza Juan Pablo II, 39 Bajo; Priego de Córdoba; Córdoba;14800;659006388 - 694496858;asociacionalfusal@hotmail.com;;Mª del Castillo Rico Ortiz;https://goo.gl/maps/w9tPs1tTGhv;;POINT(-4.194187700000043 37.4356672)
ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS MALENA; C/ Osio, 2; Posadas; Córdoba;14730;957630350 - 626083671;afama2005@gmail.es;;Mª Dolores Martínez Herrera;https://goo.gl/maps/R89jaNmagdG2;;POINT(-5.115393300000051 37.8018259)
Asociación de familiares de Enfermos de Alzheimer y otras Demencias Nuestros Ángeles; C/ Ancha 16; Lucena; Córdoba;14900;957590546 - 667677577;afalucena@alzheimerlucena.org ;http://www.alzheimerlucena.org;Jesús Jorge González Cuenca;https://goo.gl/maps/4rvw6jVjPq52;;POINT(-4.493012799999974 37.4059729)
Asociación de familiares de personas con Alzheimer y otras demencias de Montalbán; C/ Amargura 19; Montalban; Córdoba;14548;957018325 - 635081025;afademon@hotmail.com;;Isabel Bascón Castillero;https://goo.gl/maps/FVukJY64iq72;;POINT(-4.747177700000066 37.5839826)
Asociación de Familiares y Amigos de los Enfermos de Alzheimer y otras Demencias de La Rambla; Carretera La Rambla -Montalbán, S/N, Edificio La Aduana; La Rambla; Córdoba;14540;957682204 - 663919613;afarambla@hotmail.com;http://www.afarambla.es;Diego Carvajal García;https://goo.gl/maps/F3nWHyo9Z3C2;;POINT(-4.7414444017322355 37.59727118549474)
Asociación de Familiares y Enfermos de Alzheimer de Nueva Carteya; C/ Federico García Lorca, Nº 3; Nueva Carteya; Córdoba;14857;686889250;afancarteya@hotmail.es;;Isidoro Izquierdo Porras;https://goo.gl/maps/qmw5eKHbEp82;;POINT(-4.465398999999934 37.5885042)
Asociación de familiares y enfermos de Alzheimer y otras demencias BALZHEIMER; C/ San Juan, 15, 1º; Palma del Río; Córdoba;14700;628925941;balzheimer17@gmail.com;http://www.balzheimer.es;Manuel Ruiz Muñoz;https://goo.gl/maps/8DaNSCSfkML2;;POINT(-5.2819802999999865 37.6964635)
Asociación Jesús Nazareno de Alzheimer y otras Demencias de Baena; Pasaje arquitecto Mateo Gaya s/n; Baena; Córdoba;14850;957690271;afabaena@hotmail.com;;Alicia Molina Luque;https://goo.gl/maps/jZSeLBZYzCM2;;POINT(-4.317940399999998 37.6201614)
Asociación Recuerda de Familiares de Personas con Alzheimer de los Pedroches; C/ Llanos, 26; Pozoblanco; Córdoba;14400;957771520 - 678670422;afalospedroches@gmail.com;;Mª Salomé Moreno Rodríguez;https://goo.gl/maps/pfr2tcYdQKH2;;POINT(-4.847360900000012 38.3719658)
Asociación ruteña para la atención de personas afectadas de Alzheimer u otro tipo demencia (ARAPADES); C/ Canalejas, 25; Rute; Córdoba;14960;957538474 - 650218236;arapades@hotmail.com;;Nati Leiva Romero;https://goo.gl/maps/KvaJVzwFg772;;POINT(-4.367282199999977 37.324058)
Asociación San Rafael de Alzheimer y otras Demencias;"C/ Escritora Gloria Fuertes. Esquina Francisco Ortega ""Paco Peñas""";Córdoba;Córdoba;14004;957764533 - 636350174;alzheimercordoba@gmail.com ;http://www.afacordoba.es;Rafael Luque Siles;https://goo.gl/maps/AFp8KcFrdqK2;;POINT(-4.794284100000027 37.8755934)
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE GRANADA (FEGRAFA); C/ GRACIA, 29, 1ª PLANTA; GRANADA; Granada;18002;958262593 - 649486328;fegrafa@alzheimerdeandalucia.org;http://fegrafa.blogspot.com;Mª Dolores Almagro Cabrera;https://goo.gl/maps/nZKFtvgxMjK2;;POINT(-3.6030865999999833 37.1738005)
Asociación de Familiares de Enfermos de Alzheimer AFAVIDA; C/ Camino Real Motril, 5; Almuñecar; Granada;18690;958883075 - 640369346;afavida@hotmail.com;http://alzheimeralmunecar.blogspot.com;Ana Mª Guerrero Lozano;https://goo.gl/maps/KobJEHSwFAp;;POINT(-3.68137999999999 36.73869)
Asociación de Familiares de Enfermos de Alzheimer de Motril-Contigo; C/ Virgen de Fátima nº 4 - 3I; Motril; Granada;18600;680961139;presidencia@afacontigo.net - tsocial@afacontigo.net - psicologa@afacontigo.net;http://www.afacontigo.net/;Mª Dolores Almagro Cabrera;https://goo.gl/maps/cpXHvufs8C92;;POINT(-3.5147168999999394 36.7449333)
"Asociación de Familiares de Enfermos de Alzheimer demencia de Granada ""Altaamid"""; C/ Gracia, 29; Granada; Granada;18002;958276085 - 958276085;altaamid@alzheimergranada.com;http://www.alzheimergranada.com;Margarita Camacho Roldán;https://goo.gl/maps/qd5FsH1DFn92;;POINT(-3.6030865999999833 37.1738005)
"Asociacion de Familiares de Enfermos de Alzheimer y Otras Demencias ""Afa Alpujarra"""; C/TORNA, 10, 2º PISO; Órgiva; Granada;18400;958784261 - 696239868;afaalpujarra@hotmail.es;http://www.afaalpujarra.org;Luis Ponce de León;https://goo.gl/maps/URHPjMMjHkp;;POINT(-3.4225189999999657 36.9015728)
Asociación de Familiares de Enfermos de Alzheimer y Otras Demencias de la Contraviesa; Avda. 28 de febrero, Edif. De usos múltiples 3ª planta; Albuñol; Granada;18700;958826527 - 618385225;alzhecon@hotmail.com;http://afaalzhecon.blogspot.com.es;Antonia María Castilla Antequera;https://goo.gl/maps/b8f1pMqwaYL2;;POINT(-3.2028740000000653 36.790913)
"Asociación de Familiares de Personas Enfermas de Alzheimer y Otras Demencias ""Alcrebite"""; C/ Maestro Alons, Edificio Razaloft S/N 1ª planta, Puerta 7; Baza; Granada;18800;958700790 - 695593019;alzheimeralcrebite@yahoo.es;;Felicidad Iriarte Romero;https://goo.gl/maps/c4yfMDNJ9ws;;POINT(-2.779178399999978 37.4916986)
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE HUELVA; C/ Galaroza, 18, A. Detrás Supermercado MaxiDía..; Huelva; Huelva;21006;959102362;huelva@alzheimerdeandalucia.org;http://www.alzheimerdehuelva.org;Rocío Muñoz Sánchez;https://goo.gl/maps/R7FgRkGwxTC2;;POINT(-6.933702900000071 37.263985)
Afa de Lucha por los Enfermos de Alzheimer Caminar; AVDA. 28 DE FEBRERO Nº 159; Bollullos del Condado; Huelva;21710;959412665 - 695289554;afabollullos@alzheimerdehuelva.org;http://bollullos.alzheimerdehuelva.org;María de la O Viejo Martín;https://goo.gl/maps/sprH7Wt5NeT2;;POINT(-6.539703799999984 37.3452599)
Afa Mantengamos Nuestra Memoria; Barriada Sierra de Aroche s/n.; Aroche; Huelva;21240;959093043 - 959093043;afaaroche@alzheimerdehuelva.org - afaaroche@hotmail.com;;Mª José Cañado Cimbora;https://goo.gl/maps/XkQA6NxgAWE2;;POINT(-6.957004500000039 37.941368)
Asociación de Familiares de Enfermos de Alzheimer de Valverde del Camino; C/ Cabecillo Martín Sánchez, 2; Valverde del Camino; Huelva;21600;959552034 - 628339640;afavalverde@alzheimerdehuelva.org - afa_valverde@hotmail.com;http://valverdedelcamino.alzheimerdehuelva.org;Isidora Rivera Bermejo;https://goo.gl/maps/3gzAqLnjvw12;;POINT(-6.753087599999958 37.5723461)
"Asociación de Familiares de Enfermos de Alzheimer y Otras Demencias ""La Frontera del Recuerdo""IAS LA FRONTERA DEL RECUERDO"; Avda. Portugal, 115 alto; El Rosal de la Frontera; Huelva;21250;605971990;afarosal@hotmail.es - afarosaldelafrontera@alzheimerdehuelva.org;http://www.fronteradelrecuerdo.alzheimerdehuelva.org;Manuel López Ortega;https://goo.gl/maps/qvUQc6FaCM92;;POINT(-7.225778900000023 37.9665098)
"Asociación de Familiares de Enfermos de Alzheimer y Otras Demencias de Almonte ""Doñana"""; Ctra. del Rocío, 137; Almonte; Huelva;21730;959407984 - 679748621;afaalmonte@alzheimerdehuelva.org;;Manuela Rebollo Alabarce;https://goo.gl/maps/K4ELCiiU5xs;;POINT(-6.520947299999989 37.2578764)
Asociación de Familiares de Enfermos de Alzheimer y otras Demencias de Ayamonte; C/ Cuesta San Diego, 50; Ayamonte; Huelva;21400;615982941 - 648036978;afayamonte@gmail.com - afaayamonte@alzheimerdeandalucia.org;;Francisca Aguilera Martín;https://goo.gl/maps/VTcfAJCAvyJ2;;POINT(-7.397832300000005 37.2171163)
Asociación de familiares de Enfermos de Alzheimer y Otras Demencias de Bonares; Avda. de la Libertad, 3 - 1º PLANTA; Bonares; Huelva;21830;637775565;afabonares@gmail.com;;Rosendo Pérez Martín;https://goo.gl/maps/gTbm1xpLDE22;;POINT(-6.681620000000066 37.32416)
Asociación de Familiares de enfermos de Alzheimer y otras demencias del municipio de Calañas y su entorno “La Luz”; C/ Quemada, nº 41; Calañas; Huelva;21300;645211064;afacalanas@alzheimerdehuelva.org;http://calanas.alzheimerdehuelva.org;Basilia Fernández García;https://goo.gl/maps/qcyhZWmyzEw;;POINT(-6.878067900000019 37.6564023)
Asociación de Familiares de Enfermos de Alzheimer y Otras Demencias Sierra de Aracena; CAMINO DE LINARES, S/N; Aracena; Huelva;21200;959128057 – 609122112;afaaracena@alzheimerdehuelva.org;http://alzheimerdehuelva.org;Mª Dolores de la Cruz Vázquez;https://goo.gl/maps/Ux4G7SyBqq32;;POINT(-6.572106100000042 37.8892834)
Asociación de Familiares de Familiares y Enfermos de Alzheimer y Otras Demencias Afa la Candela; C/ Olivo, 2; Cortegana; Huelva;21230;711757666;afacortegana@alzheimerdehuelva.org;www.alzheimerdehuelva.org;Cinta Vázquez Pelicano;https://goo.gl/maps/s9tnmxcifqP2;;POINT(-6.818623699999989 37.9139482)
Asociación de Familiares de Personas Afectadas por la enfermedad de Alzheimer y Otras Demencias El Campillo; C/ Manuel Centeno s/n.; El Campillo; Huelva;21650;959588230 - 685165750;afaelcampillo@alzheimerdehuelva.org;http://www.afaelcampillo.es;Francisco Javier Domínguez Díaz;https://goo.gl/maps/3eH5ToSK6vm;;POINT(-6.631570000000011 37.69184)
Asociación de Familiares de Personas con Alzheimer y otras demencias de Gibraleón; calle Campoamor, nº 6 Bajo; Gibraleón; Huelva;21500;959079901 - 617247159;afaolont@afaolont.org;http://www.afaolont.org;Esteban Diaz Ojeda;https://goo.gl/maps/ieeXQ5WZHHQ2;;POINT(-6.962735000000066 37.37532290000001)
Asociación de Familiares de Personas con Alzheimer y Otras Demencias de Huelva y provincia; C/ Galaroza, 18-A; Huelva; Huelva;21006;959236732 - 717064869;alzheimer@afahuelva.org ;http://www.afahuelva.org;Rocío Muñoz Sánchez;https://goo.gl/maps/XbJZxqxEZC72;;POINT(-6.933702900000071 37.263985)
"Asociación de Familiares de Personas con Enfermedad de Alzheimer y otras Demencias ""El Trigal"""; Plaza del Carmen, 3. Convento del Carmen; Trigueros; Huelva;21620;959305195 - 959305195;afatrigueros@hotmail.es;http://www.alzheimerdehuelva.org;Antonia Vega González;https://goo.gl/maps/mnJnqGidmgq;;POINT(-6.833166399999982 37.381923)
Asociación de Familiares y Enfermos de Alzheimer de Lepe y su entorno; C/ Aracena, s/n. Antiguo Edificio ISM Planta Baja; Lepe; Huelva;21440;959645288;afalep@hotmail.com - afalepe@alzheimerdehuelva.org;http://afale.alzheimerdehuelva.org;Manuel Reyes Morales;https://goo.gl/maps/k7C9mfVsbhL2;;POINT(-7.2046794999999975 37.251082)
Asociación de Familiares y enfermos de Alzheimer de Moguer y su entorno; Calle Tres de Agosto, S/N; Moguer; Huelva;21800;959372494 - 691778424;afame_moguer@hotmail.com;;Elvira Rasco Cordero;https://goo.gl/maps/7Vu9Pn8v2J92;;POINT(-6.8412673999999924 37.2749117)
Asociación Isleña de Familiares de Personas con Alzheimer y otras demencias; C/ España Nº 190; Isla Cristina; Huelva;21410;959343793 - 639118550;afaislacristina@alzheimerdehuelva.org;http://asoifal.alzheimerdehuelva.org;Juan Manuel Ortiz Zazo;https://goo.gl/maps/UDLTX34qJzv;;POINT(-7.3159008000000085 37.1984883)
FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE JAEN; C/ Bailén, 45 bajo izquierda.; Linares; Jaén;23700;953656923 - 634248602;jaen@alzheimerdeandalucia.org;;Ángela García Cañete;https://goo.gl/maps/YaqWgvhbsD22;;POINT(-3.6381308999999646 38.0968109)
Afa Villanueva del Arzobispo; Carril de la Minilla, S/N; Villanueva del Arzobispo; Jaén;23330;953452108 - 609368762;afavill@hotmail.com;;Rosario Berbel Gallego;https://goo.gl/maps/CPABuC864xr;;POINT(-3.0064317000000074 38.1695754)
"Asociación Alzheimer y Demencias Afines ""Conde García"""; C/ Bailén 45, bajo izq; Linares; Jaén;23700;953656923 - 634248602;alzheimerlinares@ono.com;http://www.alzheimerlinares.org;Ángela García Cañete;https://goo.gl/maps/YaqWgvhbsD22;;POINT(-3.6381308999999646 38.0968109)
Asociación de familiares de enfermos de Alzheimer Esperanza; PLAZA DE LA CONSTITUCIÓN Nº 13; FUENSANTA DE MARTOS; JAÉN;23610;672790220;afa.esperanza.nr@gmail.com;;Esperanza Espinosa Jiménez;https://goo.gl/maps/mBNLKtfV2TJ2;;POINT(-3.9055461000000378 37.6474232)
Asociación de Familiares de Enfermos de Alzheimer Esperanza Viva; C/ Montoro, 33; Marmolejo; Jaén;23770;953517841 - 636216063;afamarmolejo@hotmail.com;;Rosa Domingo Mateo;https://goo.gl/maps/hzTfHEzsCpp;;POINT(-4.176527800000031 38.04383139999999)
Asociación de Familiares de enfermos de Alzheimer “21 de Septiembre”; C/ Cronista Juan de la Torre, 11; Úbeda; Jaén;23400;953751932 - 699988127;afaubeda@gmail.com;http://www.alzheimerubeda.es;Violeta Cuéllar Peña;https://goo.gl/maps/CWwgwuZdwpk;;POINT(-3.3827430999999706 38.016708)
Asociación de Familiares de Enfermos de Alzheimer “La Estrella”; C/ San Clemente 4, 4º; Jaén; Jaén;23001;953240950 - 637755150;afalaestrella@yahoo.es - laestrellajaen@yahoo.es;;Antonia Collado Espinosa.;https://goo.gl/maps/RR2LAL9hqgw;;POINT(-3.7883365999999796 37.7677828)
